L1_SDR;;;;;;;
01/09/2025 00:00;08/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-01 15:40:00.0;-12,1;1;0;-29,9;17,6;-12,3;
2025-09-01 15:45:00.0;-11,4;1;0;-30,1;18,7;-11,5;
2025-09-01 15:50:00.0;-11,2;1;0;-29,9;18,9;-11;
2025-09-01 15:55:00.0;-11;1;0;-29,9;19,1;-10,8;
2025-09-01 16:00:00.0;-11,4;1;0;-30;19;-11;
2025-09-01 16:05:00.0;-12,3;1;0;-30;17,9;-12;
2025-09-01 16:10:00.0;-10,2;1;0;-29,9;19,1;-10,8;
2025-09-01 16:15:00.0;-9;1;0;-29,9;20,5;-9,4;
2025-09-01 16:20:00.0;-9,7;1;0;-30,1;20,5;-9,5;
2025-09-01 16:25:00.0;-9,6;1;0;-29,9;20,5;-9,4;
2025-09-01 16:30:00.0;-9,4;1;0;-30;20,7;-9,3;
2025-09-01 16:35:00.0;-9,1;1;0;-30;20,9;-9,1;
2025-09-01 16:40:00.0;-9;1;0;-29,9;21;-8,9;
2025-09-01 16:45:00.0;-8,8;1;0;-30;21,3;-8,7;
2025-09-01 16:50:00.0;-8,5;1;0;-29,9;21,4;-8,5;
2025-09-01 16:55:00.0;-8,5;1;0;-30;21,6;-8,4;
2025-09-01 17:00:00.0;-8,9;1;0;-30;21,4;-8,5;
2025-09-01 17:05:00.0;-10;1;0;-30,1;20,4;-9,7;
2025-09-01 17:10:00.0;-11;1;0;-30;19,2;-10,8;
2025-09-01 17:15:00.0;-11,5;1;0;-30;18,7;-11,3;
2025-09-01 17:20:00.0;-11,9;1;0;-29,9;18,2;-11,7;
2025-09-01 17:25:00.0;-12,2;1;0;-30,1;18,1;-12;
2025-09-01 17:30:00.0;-12,4;1;0;-30;17,8;-12,3;
2025-09-01 17:35:00.0;-12,6;1;0;-29,9;17,5;-12,5;
2025-09-01 17:40:00.0;-12,5;1;0;-31,4;18,9;-12,5;
2025-09-01 17:45:00.0;-11,9;1;0;-30,1;18,2;-11,9;
2025-09-01 17:50:00.0;-12,5;1;0;-30;17,7;-12,3;
2025-09-01 17:55:00.0;-12,8;1;0;-30;17,4;-12,6;
2025-09-01 18:00:00.0;-13;1;0;-29,9;17,1;-12,8;
2025-09-01 18:05:00.0;-13,1;1;0;-30,1;17,1;-13;
2025-09-01 18:10:00.0;-13,2;1;0;-29,9;16,8;-13,1;
2025-09-01 18:15:00.0;-13,4;1;0;-30;16,7;-13,2;
2025-09-01 18:20:00.0;-13,4;1;0;-30;16,7;-13,3;
2025-09-01 18:25:00.0;-13,5;1;0;-30;16,6;-13,4;
2025-09-01 18:30:00.0;-13,6;1;0;-30;16,6;-13,5;
2025-09-01 18:35:00.0;-13,3;1;0;-29,9;16,7;-13,2;
2025-09-01 18:40:00.0;-13,5;1;0;-30;16,6;-13,4;
2025-09-01 18:45:00.0;-13,4;1;0;-30;16,7;-13,3;
2025-09-01 18:50:00.0;-13;1;0;-29,9;16,7;-13,3;
2025-09-01 18:55:00.0;-12,9;1;0;-30;17,3;-12,7;
2025-09-01 19:00:00.0;-13,2;1;0;-29,9;16,8;-13,1;
2025-09-01 19:05:00.0;-13,4;1;0;-30;16,7;-13,3;
2025-09-01 19:10:00.0;-13,5;1;0;-29,9;16,5;-13,4;
2025-09-01 19:15:00.0;-13,6;1;0;-30;16,5;-13,5;
2025-09-01 19:20:00.0;-13,7;1;0;-29,9;16,3;-13,6;
2025-09-01 19:25:00.0;-13,8;1;0;-30;16,3;-13,7;
2025-09-01 19:30:00.0;-13,8;1;0;-30;16,3;-13,7;
2025-09-01 19:35:00.0;-13,8;1;0;-30;16,3;-13,8;
2025-09-01 19:40:00.0;-13,4;1;0;-29,9;16,5;-13,4;
2025-09-01 19:45:00.0;-12,3;1;0;-29,9;17,6;-12,4;
2025-09-01 19:50:00.0;-11,2;1;0;-29,9;18,9;-11;
2025-09-01 19:55:00.0;-11;1;0;-29,9;19,1;-10,8;
2025-09-01 20:00:00.0;-10,5;1;0;-30;19,6;-10,4;
2025-09-01 20:05:00.0;-10,2;1;0;-29,9;19,9;-10;
2025-09-01 20:10:00.0;-9,9;1;0;-29,9;20,2;-9,7;
2025-09-01 20:15:00.0;-8,8;1;0;-30;20,8;-9,2;
2025-09-01 20:20:00.0;-8,8;1;0;-30,1;21,4;-8,7;
2025-09-01 20:25:00.0;-8,7;1;0;-30;21,4;-8,7;
2025-09-01 20:30:00.0;-9,6;1;0;-30,1;20,9;-9,1;
2025-09-01 20:35:00.0;-10,6;1;0;-30;19,7;-10,3;
2025-09-01 20:40:00.0;-11,2;1;0;-30,1;19,1;-11;
2025-09-01 20:45:00.0;-11,7;1;0;-29,9;18,4;-11,5;
2025-09-01 20:50:00.0;-12,3;1;0;-30,1;18;-12,1;
2025-09-01 20:55:00.0;-12,2;1;0;-35,2;22,9;-12,3;
2025-09-01 21:00:00.0;-11,8;1;0;-30,1;18,3;-11,9;
2025-09-01 21:05:00.0;-11,5;1;0;-30,1;18,7;-11,4;
2025-09-01 21:10:00.0;-12;1;0;-29,1;17,3;-11,7;
2025-09-01 21:15:00.0;-11,7;1;0;-29,4;17,8;-11,7;
2025-09-01 21:20:00.0;-11,7;1;0;-29,9;18,4;-11,5;
2025-09-01 21:25:00.0;-12,2;1;0;-33,5;21,2;-12,2;
2025-09-01 21:30:00.0;-11,7;1;0;-30;18,3;-11,7;
2025-09-01 21:35:00.0;-12,2;1;0;-30;18,1;-11,9;
2025-09-01 21:40:00.0;-12,5;1;0;-30,1;17,8;-12,3;
2025-09-01 21:45:00.0;-12,9;1;0;-30;17,2;-12,8;
2025-09-01 21:50:00.0;-13,1;1;0;-30;17;-13;
2025-09-01 21:55:00.0;-13,2;1;0;-30;16,9;-13,1;
2025-09-01 22:00:00.0;-13,4;1;0;-30;16,8;-13,2;
2025-09-01 22:05:00.0;-13,4;1;0;-30;16,6;-13,3;
2025-09-01 22:10:00.0;-13,6;1;0;-30;16,5;-13,5;
2025-09-01 22:15:00.0;-13,2;1;0;-29,9;16,8;-13,1;
2025-09-01 22:20:00.0;-13,4;1;0;-30;16,8;-13,3;
2025-09-01 22:25:00.0;-13,3;1;0;-30,1;16,7;-13,4;
2025-09-01 22:30:00.0;-13,1;1;0;-30;17;-13;
2025-09-01 22:35:00.0;-13,4;1;0;-30;16,7;-13,3;
2025-09-01 22:40:00.0;-13,5;1;0;-30;16,6;-13,4;
2025-09-01 22:45:00.0;-13,6;1;0;-30;16,5;-13,5;
2025-09-01 22:50:00.0;-13,7;1;0;-30;16,4;-13,6;
2025-09-01 22:55:00.0;-13,8;1;0;-30;16,3;-13,7;
2025-09-01 23:00:00.0;-13,9;1;0;-30;16,3;-13,8;
2025-09-01 23:05:00.0;-13,9;1;0;-30,1;16,3;-13,8;
2025-09-01 23:10:00.0;-14;1;0;-30;16,1;-13,9;
2025-09-01 23:15:00.0;-14;1;0;-30;16,1;-13,9;
2025-09-01 23:20:00.0;-14;1;0;-30;16,1;-14;
2025-09-01 23:25:00.0;-14,1;1;0;-30;16;-14;
2025-09-01 23:30:00.0;-14,1;1;0;-30;16;-14;
2025-09-01 23:35:00.0;-14,2;1;0;-30;16;-14,1;
2025-09-01 23:40:00.0;-14,2;1;0;-30,1;15,9;-14,1;
2025-09-01 23:45:00.0;-14,2;1;0;-30,1;15,9;-14,1;
2025-09-01 23:50:00.0;-14,2;1;0;-30,1;15,9;-14,1;
2025-09-01 23:55:00.0;-14,4;1;0;-30,1;15,9;-14,2;
2025-09-02 00:00:00.0;-13,4;1;0;-29,9;16,5;-13,4;
2025-09-02 00:05:00.0;-12,6;1;0;-30,1;17,5;-12,5;
2025-09-02 00:10:00.0;-12;1;0;-30,1;18,1;-12;
2025-09-02 00:15:00.0;-11,5;1;0;-30;18,6;-11,4;
2025-09-02 00:20:00.0;-11;1;0;-30,1;19,2;-10,9;
2025-09-02 00:25:00.0;-10,4;1;0;-30;19,7;-10,3;
2025-09-02 00:30:00.0;-10,1;1;0;-30;19,9;-10,1;
2025-09-02 00:35:00.0;-9,9;1;0;-29,9;20,2;-9,8;
2025-09-02 00:40:00.0;-9,7;1;0;-30,1;20,5;-9,6;
2025-09-02 00:45:00.0;-9,3;1;0;-29,9;20,6;-9,4;
2025-09-02 00:50:00.0;-10,9;1;0;-30;19,4;-10,6;
2025-09-02 00:55:00.0;-11,6;1;0;-30;18,6;-11,4;
2025-09-02 01:00:00.0;-12,1;1;0;-29,9;18;-11,9;
2025-09-02 01:05:00.0;-12,5;1;0;-30;17,7;-12,3;
2025-09-02 01:10:00.0;-12,7;1;0;-30;17,4;-12,6;
2025-09-02 01:15:00.0;-13,1;1;0;-30,1;17,1;-12,9;
2025-09-02 01:20:00.0;-13,2;1;0;-30,1;17;-13,1;
2025-09-02 01:25:00.0;-13,4;1;0;-30;16,8;-13,2;
2025-09-02 01:30:00.0;-13,5;1;0;-30;16,7;-13,3;
2025-09-02 01:35:00.0;-13,6;1;0;-30,1;16,6;-13,5;
2025-09-02 01:40:00.0;-13,7;1;0;-30;16,4;-13,6;
2025-09-02 01:45:00.0;-13,8;1;0;-30;16,4;-13,6;
2025-09-02 01:50:00.0;-13,8;1;0;-30;16,3;-13,7;
2025-09-02 01:55:00.0;-13,9;1;0;-30,1;16,3;-13,8;
2025-09-02 02:00:00.0;-13,9;1;0;-30,1;16,2;-13,8;
2025-09-02 02:05:00.0;-14;1;0;-30,1;16,2;-13,9;
2025-09-02 02:10:00.0;-14;1;0;-30,1;16,1;-13,9;
2025-09-02 02:15:00.0;-14,1;1;0;-30,1;16,1;-14;
2025-09-02 02:20:00.0;-14,2;1;0;-30;16;-14,1;
2025-09-02 02:25:00.0;-14,2;1;0;-30;15,9;-14,1;
2025-09-02 02:30:00.0;-14,2;1;0;-30;15,9;-14,1;
2025-09-02 02:35:00.0;-14,2;1;0;-30;15,9;-14,1;
2025-09-02 02:40:00.0;-14,3;1;0;-30;15,9;-14,2;
2025-09-02 02:45:00.0;-14,3;1;0;-30;15,8;-14,2;
2025-09-02 02:50:00.0;-14,3;1;0;-30,1;15,9;-14,2;
2025-09-02 02:55:00.0;-14,3;1;0;-30,1;15,8;-14,2;
2025-09-02 03:00:00.0;-14,4;1;0;-30,1;15,8;-14,3;
2025-09-02 03:05:00.0;-14,4;1;0;-30,1;15,8;-14,3;
2025-09-02 03:10:00.0;-14,4;1;0;-30,1;15,8;-14,3;
2025-09-02 03:15:00.0;-14,5;1;0;-30,1;15,7;-14,4;
2025-09-02 03:20:00.0;-14,5;1;0;-30;15,7;-14,4;
